Month	Date	Status	Title	Platform(s)	Genre(s)	Publisher(s)
Jan	01/01/1995		Battle Arena Toshinden	PS1		
Jan	13/01/1995		Bust-a-Move	SNES		
Feb	15/02/1995		Star Wars: Dark Forces	DOS		
Feb	16/02/1995		Ristar	SMD		
Feb	24/02/1995		Front Mission	SNES		
Mar	10/03/1995		Panzer Dragoon	Sat		
Mar	11/03/1995		Chrono Trigger	SNES		
Mar	14/03/1995		Mario's Picross	GB		
Mar	17/03/1995		Descent	DOS		
Mar	21/03/1995		Kirby's Dream Land 2	GB		
Mar	24/03/1995		Mega Man 7	SNES		
Apr	15/04/1995		Mortal Kombat 3	Arcade		
Apr	27/04/1995		Jumping Flash!	PS1		
Apr	28/04/1995		Super Bomberman 3	SNES		
Apr	30/04/1995		Full Throttle	DOS, Win, Mac		
May	01/05/1995		King Arthur & the Knights of Justice	SNES		
May	25/05/1995		Light Crusader	SMD		
Jun	05/06/1995		EarthBound	SNES		
Jun	05/06/1995		Street Fighter Alpha	Arcade		
Jun	07/06/1995		Flight Unlimited	DOS, Win95		
Jul	21/07/1995		Castlevania: Dracula X	SNES		
Jul	24/07/1995		MechWarrior 2	DOS		
Jul	25/07/1995		The King of Fighters '95	Arcade		
Jul	31/07/1995		Phantasmagoria	DOS, Win95, Mac, Sat (1997)		
Aug	01/08/1995		Comix Zone	SMD		
Aug	01/08/1995		Tekken 2	Arcade		
Aug	05/08/1995		Super Mario World 2: Yoshi's Island	SNES		
Aug	31/08/1995		Command & Conquer	DOS, Mac		
Aug	31/08/1995		Heroes of Might and Magic: A Strategic Quest	DOS		
Sep	01/09/1995		Rayman	PS1, Sat, Jag		
Oct	01/10/1995		Secret of Evermore	SNES		
Oct	01/10/1995		Time Crisis	Arcade		
Oct	06/10/1995		Tactics Ogre: Let Us Cling Together	SNES		
Oct	20/10/1995		Terranigma	SNES		
Oct	27/10/1995		Panel de Pon	SNES		
Oct	31/10/1995		Destruction Derby	PS1		
Oct	31/10/1995		I Have No Mouth, and I Must Scream	DOS, Mac		
Oct	31/10/1995		Star Wars: TIE Fighter (Collector's CD-ROM)	Win, Mac		
Nov	05/11/1995		Twisted Metal	PS1		
Nov	20/11/1995		Donkey Kong Country 2: Diddy's Kong Quest	SNES		
Nov	24/11/1995		Battle Arena Toshinden 2	PS1, Arcade		
Nov	24/11/1995		Marathon 2: Durandal	Mac		
Nov	30/11/1995		The Dig	DOS, Mac		
Dec	01/12/1995		Worms	Ami		
Dec	01/12/1995		Phantasy Star IV: The End of the Millennium	SMD		
Dec	01/12/1995		Time Crisis	Arcade		
Dec	01/12/1995		Mega Man X3	SNES		
Dec	09/12/1995		Dragon Quest VI: Realms of Revelation	SNES		
Dec	09/12/1995		Warcraft II: Tides of Darkness	DOS, Mac		
Dec	15/12/1995		Tales of Phantasia	SNES		
Dec	15/12/1995		Suikoden	PS1		
Dec	15/12/1995		Brain Dead 13	DOS		
Dec	22/12/1995		Final Fight 3	SNES		
Dec	31/12/1995		The Beast Within: A Gabriel Knight Mystery	DOS, Win, Mac		
Dec	31/12/1995		King's Field II	PS1		
Jan	25/01/1996		Guardian Heroes	Sat		
Jan	26/01/1996		Mystaria: The Realms of Lore	Sat		
Jan	29/01/1996		Duke Nukem 3D	DOS		
Jan	31/01/1996		Mega Man X3	SNES		
Feb	09/02/1996		Bahamut Lagoon	SNES		
Feb	23/02/1996		Front Mission: Gun Hazard	SNES		
Feb	27/02/1996		Pokémon Red and Green	GB		
Feb	29/02/1996		Civilization II	Win		
Feb	29/02/1996		Ripper (video game)	DOS		
Feb	29/02/1996		Rise 2: Resurrection	Win, Sat, PS1		
Feb	29/02/1996		Terra Nova: Strike Force Centauri	DOS		
Feb	29/02/1996		Zork: Nemesis	Win		
Mar	09/03/1996		Super Mario RPG	SNES		
Mar	21/03/1996		Kirby Super Star	SNES		
Mar	22/03/1996		Resident Evil	PS1		
Mar	22/03/1996		Panzer Dragoon II Zwei	Sat		
Mar	29/03/1996		Dragon Ball Z: Hyper Dimension	SNES		
Apr	20/04/1996		Barbie Fashion Designer	Win		
Apr	26/04/1996		Jumping Flash! 2	PS1		
Apr	26/04/1996		The Legend of Oasis	Sat		
Apr	30/04/1996		Indiana Jones and His Desktop Adventures	Win, Mac		
May	14/05/1996		Fire Emblem: Seisen no Keifu	SNES		
May	24/05/1996		Metal Slug	Neo		
May	31/05/1996		Final Doom	DOS		
May	31/05/1996		Kirby's Block Ball	GB		
Jun	01/06/1996		Last Bronx	Arcade		
Jun	22/06/1996		Quake	DOS		
Jun	23/06/1996		Super Mario 64	N64		
Jun	27/06/1996		Shining Wisdom	Sat		
Jul	05/07/1996		NiGHTS into Dreams...	Sat		
Jul	19/07/1996		Saturn Bomberman	Sat		
Jul	19/07/1996		Star Ocean	SNES		
Jul	25/07/1996		The King of Fighters '96	Neo, NeoCD, Sat		
Jul	26/07/1996		Bust-A-Move 2: Arcade Edition	Sat, PS1		
Jul	31/07/1996		Phantasmagoria: A Puzzle of Flesh	DOS, Win		
Jul	31/07/1996		Virtua Fighter Kids	Sat, Arcade		
Aug	25/08/1996		Tekken 2	PS1		
Aug	31/08/1996		The Elder Scrolls II: Daggerfall	Win		
Aug	31/08/1996		Die Hard Trilogy	Win, PS1, Sat		
Aug	31/08/1996		Tetris Attack	SNES, GB		
Aug	31/08/1996		Madden NFL 97	SMD, PS1, Win, SNES, Sat, GB		
Aug	31/08/1996		Beyond the Beyond	PS1		
Aug	31/08/1996		Jet Moto	PS1		
Sep	01/09/1996		Virtua Fighter 3	Arcade		
Sep	09/09/1996		Crash Bandicoot	PS1		
Sep	14/09/1996		GunGriffon	Sat		
Sep	20/09/1996		Revelations: Persona	PS1		
Sep	26/09/1996		Pilotwings 64	N64		
Sep	27/09/1996		Meridian 59	Win		
Sep	30/09/1996		Wipeout XL/2097	PS1		
Sep	30/09/1996		Shattered Steel	DOS		
Sep	30/09/1996		Street Fighter Alpha 2	Arcade, SNES, PS1, Sat		
